id,vehicle_id,license_plate,vin,make,model,year,color,engine_number,vehicle_type,registration_date,inspection_expiry_date,created_at,updated_at
2439922de43d11ef9aeaad30f1df9c0c,24802243e43d11ef9369ad30f1df9c0c,津Z-12349,9M7HEED40U1WEDC6L,现代,胜达,2013,深青绿色,X89S6J4VA1,轿车,2019-12-27,2026-07-26,2025-02-06 11:47:53,
24bd3906e43d11efa2c0ad30f1df9c0c,24bd3907e43d11efa347ad30f1df9c0c,青D-38910,KEL8G4VKD4LHG5B0J,丰田,卡罗拉,2004,藏青色,8578UN1K46,轿车,2025-10-27,2026-08-04,2025-02-06 11:47:53,
24bd3908e43d11efaed0ad30f1df9c0c,24bd3909e43d11ef83faad30f1df9c0c,冀K-70285,DE1BV8UZAXXWNN0BA,标致,3008,2003,浅墨绿色,G48ARDJHYM,轿车,2008-01-17,2026-06-14,2025-02-06 11:47:53,
24bd6006e43d11efb11cad30f1df9c0c,24bd6007e43d11ef8780ad30f1df9c0c,甘Z-25086,WRFSPVTLM5JVA2MBK,起亚,KX5,2011,深米色,ZW76EL25CW,轿车,2022-06-06,2026-06-17,2025-02-06 11:47:53,
24bd6008e43d11eface5ad30f1df9c0c,24bd6009e43d11efb059ad30f1df9c0c,鲁C-36822,ABL5B50PV905EA9PA,奥迪,A3,2016,青色,GXGKZGS8XA,轿车,2023-02-28,2026-08-18,2025-02-06 11:47:53,
24bd600ae43d11efab95ad30f1df9c0c,24bd600be43d11efb62aad30f1df9c0c,川T-06667,21Y17YNUGWAEM41MX,奔驰,E级,2005,藏青色,0KPVKSHBFU,轿车,2007-05-13,2026-10-28,2025-02-06 11:47:53,
24bd600ce43d11ef9b4cad30f1df9c0c,24bd600de43d11ef8aa8ad30f1df9c0c,贵P-50750,XN0YCC2CANURTWZPN,日产,楼兰,2005,浅香槟色,GD56AU2GTJ,轿车,2025-01-26,2026-11-05,2025-02-06 11:47:53,
24bd8711e43d11efab83ad30f1df9c0c,24bd8712e43d11ef9fe6ad30f1df9c0c,豫H-61738,0X6U8A12LLU6WFNK1,北汽,绅宝,2002,石榴红,6BHBA5LFEY,轿车,2013-09-13,2026-11-11,2025-02-06 11:47:53,
24bd8713e43d11efb4d8ad30f1df9c0c,24bd8714e43d11efb758ad30f1df9c0c,黑A-53423,4YAGTJC69KP4CYEK5,大众,高尔夫,2015,浅金色,E7WC14MBSS,轿车,2016-08-25,2026-10-08,2025-02-06 11:47:53,
24bd8715e43d11efacdaad30f1df9c0c,24bd8716e43d11ef92f7ad30f1df9c0c,桂A-90195,4E8486Z4U3G3R2S4C,奔驰,C级,2015,深青色,79YVHD5731,轿车,2021-09-10,2026-11-23,2025-02-06 11:47:53,
24bd8717e43d11ef81f7ad30f1df9c0c,24bd8718e43d11efbad5ad30f1df9c0c,晋V-34021,6LJMEZMF5HNWEAY27,奥迪,Q3,2011,灰色,8HERS1JAGM,轿车,2015-05-18,2026-07-01,2025-02-06 11:47:53,
