id,vehicle_id,violation_date,violation_location,violation_type,violation_description,fine_amount,points_deduction,handing_status,created_at,updated_at
24bd3906e43d11efa2c0ad30f1df9c0c,24bd3907e43d11efa347ad30f1df9c0c,2025-10-27,兰州路淮安路G座,无证驾驶,违章描述,500元,12分,已处理,2025-02-06 11:47:53,
24bd3908e43d11efaed0ad30f1df9c0c,24bd3909e43d11ef83faad30f1df9c0c,2008-01-17,兰州路淮安路G座,无证驾驶,违章描述,500元,12分,未处理,2025-02-06 11:47:53,
24bd6006e43d11efb11cad30f1df9c0c,24bd6007e43d11ef8780ad30f1df9c0c,2022-06-06,张路马鞍山街b座,酒驾,违章描述,1000元,12分,未处理,2025-02-06 11:47:53,
24bd600ae43d11efab95ad30f1df9c0c,24bd600be43d11efb62aad30f1df9c0c,2007-05-13,蒋街张街q座,违章停车,违章描述,50元,2分,未处理,2025-02-06 11:47:53,
24bd600ce43d11ef9b4cad30f1df9c0c,24bd600de43d11ef8aa8ad30f1df9c0c,2025-01-26,香港路方路z座,无证驾驶,违章描述,500元,12分,已处理,2025-02-06 11:47:53,
24bd8711e43d11efab83ad30f1df9c0c,24bd8712e43d11ef9fe6ad30f1df9c0c,2013-09-13,张街陈路Z座,超速,违章描述,100元,3分,已处理,2025-02-06 11:47:53,
24bd8713e43d11efb4d8ad30f1df9c0c,24bd8714e43d11efb758ad30f1df9c0c,2016-08-25,姜街兴城街E座,酒驾,违章描述,1000元,12分,已处理,2025-02-06 11:47:53,
24bd8717e43d11ef81f7ad30f1df9c0c,24bd8718e43d11efbad5ad30f1df9c0c,2015-05-18,杨路郝路s座,超速,违章描述,100元,3分,已处理,2025-02-06 11:47:53,
24bdae1ae43d11ef8a0dad30f1df9c0c,24bdae1be43d11ef88eead30f1df9c0c,2005-07-15,杨路郝路s座,无证驾驶,违章描述,500元,12分,已处理,2025-02-06 11:47:53,
24bdae1ce43d11ef9c6cad30f1df9c0c,24bdae1de43d11ef8e17ad30f1df9c0c,2018-01-02,李街巢湖街V座,超速,违章描述,100元,3分,已处理,2025-02-06 11:47:53,
24bdae1ee43d11ef8c57ad30f1df9c0c,24bdae1fe43d11ef94aaad30f1df9c0c,2015-04-15,宜都路长春街V座,违章停车,违章描述,50元,2分,已处理,2025-02-06 11:47:53,
24bdae22e43d11ef88adad30f1df9c0c,24bdae23e43d11efbe09ad30f1df9c0c,2020-06-28,贵阳街北镇街H座,超速,违章描述,100元,3分,已处理,2025-02-06 11:47:53,
24dcd2e5e43d11ef8192ad30f1df9c0c,24dcd2e6e43d11ef83fead30f1df9c0c,2013-03-24,宜都路长春街V座,违章停车,违章描述,50元,2分,已处理,2025-02-06 11:47:53,
24dd2ae7e43d11ef9009ad30f1df9c0c,24dd2ae8e43d11efa80aad30f1df9c0c,2014-03-16,时街蒋街g座,闯红灯,违章描述,200元,6分,未处理,2025-02-06 11:47:53,
24dd2aebe43d11ef93ebad30f1df9c0c,24dd51ede43d11efbac7ad30f1df9c0c,2019-11-17,天津街杨街e座,闯红灯,违章描述,200元,6分,未处理,2025-02-06 11:47:53,
24dd51f0e43d11ef884ead30f1df9c0c,24dd51f1e43d11ef9be8ad30f1df9c0c,2024-07-06,宁德街郭路F座,无证驾驶,违章描述,500元,12分,未处理,2025-02-06 11:47:53,
24ddc723e43d11efaa4bad30f1df9c0c,24ddc724e43d11efbf41ad30f1df9c0c,2016-05-13,余街叶路i座,违章停车,违章描述,50元,2分,未处理,2025-02-06 11:47:53,
24ddc725e43d11ef8f4dad30f1df9c0c,24ddc726e43d11ef9dcead30f1df9c0c,2011-05-12,宁德街郭路F座,违章停车,违章描述,50元,2分,已处理,2025-02-06 11:47:53,
24ddc727e43d11ef865bad30f1df9c0c,24ddc728e43d11ef86abad30f1df9c0c,2007-02-20,银川路乌鲁木齐路h座,酒驾,违章描述,1000元,12分,未处理,2025-02-06 11:47:53,
24ddc729e43d11ef9a2fad30f1df9c0c,24ddc72ae43d11ef8f6dad30f1df9c0c,2025-08-13,余街叶路i座,无证驾驶,违章描述,500元,12分,已处理,2025-02-06 11:47:53,
24ddc72be43d11ef9207ad30f1df9c0c,24ddc72ce43d11efad63ad30f1df9c0c,2023-07-07,张街陈路Z座,闯红灯,违章描述,200元,6分,未处理,2025-02-06 11:47:53,
24ddc72fe43d11efb426ad30f1df9c0c,24ddc730e43d11ef88faad30f1df9c0c,2005-05-27,宜都路长春街V座,违章停车,违章描述,50元,2分,未处理,2025-02-06 11:47:53,
24ddee0ce43d11ef946ead30f1df9c0c,24ddee0de43d11efa5d9ad30f1df9c0c,2022-10-15,许街袁路r座,酒驾,违章描述,1000元,12分,已处理,2025-02-06 11:47:53,
24ddee16e43d11efbbdbad30f1df9c0c,24ddee17e43d11ef875cad30f1df9c0c,2023-10-17,宜都路长春街V座,酒驾,违章描述,1000元,12分,已处理,2025-02-06 11:47:53,
24ddee1ae43d11efa5c2ad30f1df9c0c,24de151ce43d11efbabfad30f1df9c0c,2024-11-06,樊街甄街a座,超速,违章描述,100元,3分,未处理,2025-02-06 11:47:53,
24de151fe43d11efaf4fad30f1df9c0c,24de1520e43d11efae61ad30f1df9c0c,2009-02-16,宜都路长春街V座,无证驾驶,违章描述,500元,12分,已处理,2025-02-06 11:47:53,
24de1521e43d11efab71ad30f1df9c0c,24de1522e43d11ef9fc9ad30f1df9c0c,2025-03-08,杨路郝路s座,违章停车,违章描述,50元,2分,已处理,2025-02-06 11:47:53,
24de1523e43d11ef9c7dad30f1df9c0c,24de1524e43d11ef856bad30f1df9c0c,2021-05-11,陈街邵街v座,酒驾,违章描述,1000元,12分,已处理,2025-02-06 11:47:53,
24de1525e43d11ef9b5fad30f1df9c0c,24de1526e43d11efa3b0ad30f1df9c0c,2005-06-24,香港路方路z座,超速,违章描述,100元,3分,已处理,2025-02-06 11:47:53,
